Year,Month,Branch,Product,Units_Sold,Unit_Price_NPR,Revenue_NPR
2025,Jan,Koteshwor,Laptop,220,90000,19800000
2025,Feb,Koteshwor,Laptop,214,90000,19260000
2025,Mar,Koteshwor,Laptop,260,90000,23400000
2025,Apr,Koteshwor,Laptop,230,90000,20700000
2025,May,Koteshwor,Laptop,228,90000,20520000
2025,Jun,Koteshwor,Laptop,227,90000,20430000
2025,Jul,Koteshwor,Laptop,221,90000,19890000
2025,Aug,Koteshwor,Laptop,260,90000,23400000
2025,Sep,Koteshwor,Laptop,219,90000,19710000
2025,Oct,Koteshwor,Laptop,266,90000,23940000
2025,Nov,Koteshwor,Laptop,270,90000,24300000
2025,Dec,Koteshwor,Laptop,270,90000,24300000
2025,Jan,Koteshwor,Smartphone,194,35000,6790000
2025,Feb,Koteshwor,Smartphone,226,35000,7910000
2025,Mar,Koteshwor,Smartphone,216,35000,7560000
2025,Apr,Koteshwor,Smartphone,191,35000,6685000
2025,May,Koteshwor,Smartphone,190,35000,6650000
2025,Jun,Koteshwor,Smartphone,194,35000,6790000
2025,Jul,Koteshwor,Smartphone,202,35000,7070000
2025,Aug,Koteshwor,Smartphone,203,35000,7105000
2025,Sep,Koteshwor,Smartphone,221,35000,7735000
2025,Oct,Koteshwor,Smartphone,237,35000,8295000
2025,Nov,Koteshwor,Smartphone,200,35000,7000000
2025,Dec,Koteshwor,Smartphone,224,35000,7840000
2025,Jan,Koteshwor,Smart TV,145,70000,10150000
2025,Feb,Koteshwor,Smart TV,141,70000,9870000
2025,Mar,Koteshwor,Smart TV,144,70000,10080000
2025,Apr,Koteshwor,Smart TV,134,70000,9380000
2025,May,Koteshwor,Smart TV,126,70000,8820000
2025,Jun,Koteshwor,Smart TV,114,70000,7980000
2025,Jul,Koteshwor,Smart TV,128,70000,8960000
2025,Aug,Koteshwor,Smart TV,137,70000,9590000
2025,Sep,Koteshwor,Smart TV,117,70000,8190000
2025,Oct,Koteshwor,Smart TV,161,70000,11270000
2025,Nov,Koteshwor,Smart TV,165,70000,11550000
2025,Dec,Koteshwor,Smart TV,100,70000,7000000
2025,Jan,Koteshwor,Refrigerator,134,60000,8040000
2025,Feb,Koteshwor,Refrigerator,117,60000,7020000
2025,Mar,Koteshwor,Refrigerator,111,60000,6660000
2025,Apr,Koteshwor,Refrigerator,107,60000,6420000
2025,May,Koteshwor,Refrigerator,99,60000,5940000
2025,Jun,Koteshwor,Refrigerator,103,60000,6180000
2025,Jul,Koteshwor,Refrigerator,138,60000,8280000
2025,Aug,Koteshwor,Refrigerator,111,60000,6660000
2025,Sep,Koteshwor,Refrigerator,96,60000,5760000
2025,Oct,Koteshwor,Refrigerator,105,60000,6300000
2025,Nov,Koteshwor,Refrigerator,124,60000,7440000
2025,Dec,Koteshwor,Refrigerator,96,60000,5760000
2025,Jan,Koteshwor,Washing Machine,195,50000,9750000
2025,Feb,Koteshwor,Washing Machine,163,50000,8150000
2025,Mar,Koteshwor,Washing Machine,179,50000,8950000
2025,Apr,Koteshwor,Washing Machine,157,50000,7850000
2025,May,Koteshwor,Washing Machine,192,50000,9600000
2025,Jun,Koteshwor,Washing Machine,143,50000,7150000
